Latitude,Humidity,Wind Speed,Clouds,Temperature (f)
-9.8,100,5.44,80,80.303
43.65,65,2.91,92,25.853
-22.57,19,3.6,24,79.376
-54.81,38,7.7,90,56.84
64.86,82,2.51,1,-3.496
39.95,63,4.6,90,53.06
-17.12,70,7.2,75,86
-23.12,98,8.34,76,74.048
31.34,16,3.46,0,41.828
71.64,61,4.36,44,-7.447
-33.02,77,6.7,0,66.2
-22.97,74,7.7,0,82.4
60.79,83,5.1,75,24.08
-20.21,83,1,20,73.4
6.8,79,2.1,75,84.2
3.07,100,3.49,0,83.858
-33.64,100,5.71,0,57.443
-2.02,100,3.64,24,82.733
-42.78,62,7.7,40,51.8
12.41,44,1.71,20,83.813
-46.19,81,8.36,24,45.248
39.31,49,9.8,75,58.28
-33.69,90,5.39,0,67.163
24.63,50,4.1,75,75.2
15.34,95,1.24,48,70.943
-34.42,40,1.11,88,67.793
68.54,73,1.79,76,-11.002
34.42,49,3.6,1,74.336
17.52,66,2.6,75,87.8
35.73,87,1,75,51.008
-2.88,100,1.51,48,75.308
70.62,57,1.74,44,-11.497
10.57,100,4.19,56,81.473
-0.6,100,2.14,76,81.878
11,92,4.54,36,77.153
-33.21,75,3.31,100,56.498
65.61,100,1.29,0,24.548
-53.16,66,5.1,0,55.544
0.05,94,1.14,44,76.433
30.04,47,7.2,75,75.398
0.07,77,2.96,12,84.713
-33.59,66,9.19,12,72.878
-18.06,20,4.36,48,84.578
-34.53,68,1,76,64.4
42.65,70,8.7,75,45.644
69.44,84,4.1,20,3.2
62.45,92,3.6,90,14
-20.63,73,3.84,44,81.203
6.4,100,2.06,88,79.583
24.8,99,4.71,8,78.053
-42.48,97,8.36,92,51.503
52.47,81,5.1,0,48.848
21.44,76,4.1,40,77.126
63.44,93,4.1,75,37.4
-46.13,100,12.14,80,46.508
59.7,100,5,90,23
70.03,100,6.51,80,41.873
-23.58,93,2.64,0,64.553
15.46,27,2.26,0,79.853
65.28,84,1.5,75,1.4
-6.09,33,4.76,0,94.433
54.51,74,3.86,76,37.013
51.89,93,7.2,75,53.6
62.91,87,6.7,40,47.084
53.86,68,4.06,68,37.598
43.37,92,1.46,20,51.98
10.24,59,6.7,20,89.6
-20.46,16,4.1,56,84.2
-16.45,22,5.1,0,66.2
-21.21,88,7.2,75,71.6
18.19,93,3.76,0,85.478
16.97,74,2.6,40,87.8
8,96,0.16,64,68.513
-42.88,62,7.7,40,51.8
69.7,100,3.46,76,10.373
33,78,1.84,36,50.873
-6.12,94,0.94,76,75.983
-10.62,100,5.31,88,77.378
-30.17,93,4.49,88,71.798
-45.87,34,6.2,75,68
-21.64,58,7.2,0,86
10.49,58,1.56,40,87.8
-20.56,85,4.61,20,70.673
22.08,71,5.1,40,77.828
9.54,100,4.49,92,82.463
60.91,73,10.8,40,29.858
-33.93,59,1,0,66.2
45.62,76,2.6,0,49.082
-34.67,82,0.5,90,60.8
-38.38,69,5.44,8,71.213
63.84,100,14.4,40,32
-38.31,69,5.44,8,71.213
-46.28,67,11.66,0,47.048
-39.03,40,1.5,0,69.8
71.97,71,1.84,76,0.878
46.45,96,1.16,80,32.603
-0.74,54,5.7,40,82.4
37.72,100,4.1,75,66.2
-13.71,30,5.1,0,71.6
39.41,65,4.6,90,51.71
20.2,23,2.84,0,81.923
11.28,49,1.5,0,91.4
-1.93,98,0.59,68,74.453
14.88,80,1.44,0,69.773
41.05,78,1.11,76,40.613
62.23,93,6.7,92,48.2
35.3,31,4.29,24,62.798
36.9,54,4.1,75,46.832
19.71,84,2.6,75,63.482
28.58,69,3.1,40,73.4
48.65,100,7.91,92,43.808
64.25,100,12.06,92,38.678
64.84,82,2.51,1,-3.46
5.28,100,1.89,75,78.8
26.35,89,6.2,75,76.406
45.6,76,2.6,0,48.002
-45.58,45,4.1,75,59.594
13.58,24,3.24,0,90.428
-46.43,43,8.24,92,63.833
-6.13,71,2.79,20,80.033
